source,target,weight
real,chocolate,7
book,numerous,4
faithful,book,4
burton,good,4
loompas,real,3
children,commonplace,3
children,least,3
film,real,3
better,book,3
british,book,3
british,family,3
real,squirrels,3
oompa,real,3
british,cast,3
dollars,real,3
real,glass,3
delightful,movie,3
factory,long,3
use,british,3
real,title,3
real,freddie,3
real,depp,3
crazy,factory,3
real,peck,3
real,chance,3
real,grandpa,3
real,joe,3
charlie,cabbage-soup-making,3
many,mores,3
real,highmore,3
real,role,3
important,life,3
real,charlie,3
important,things,3
johnny,top,3
roy,real,3
family,british,3
many,burton,3
movie,much.but,3
laughs,many,3
room,full,3
kinds,many,3
wonka,golden,3
movie,delightful,3
wonka,fizzy,3
golden,ticket,3
great,movie,3
original,movie,3
movie,potential,3
movie,great,3
real,elevator,3
accurate,wonka,3
chocolate,nervous,3
fun,real,3
burton,many,3
chocolate,real,2
features,full,2
full,factory,2
terms,awesome,2
bars,real,2
rapids,full,2
effects,funny,2
amazing,room,2
film,enjoyable,2
single,film,2
single,look,2
river,full,2
british,americanisms,2
ages,little,2
special,effects,2
factory,full,2
rosy,face,2
subtle,film,2
version,original,2
film,little,2
effects,scary,2
full,world,2
chocolate,full,2
everything,full,2
wonka,main,2
rosy,eyes,2
singing,bad,2
full,chocolate,2
like,jackson,2
pleased,chocolate,2
little,boy,2
little,charlie,2
little,bucket,2
little,things,2
little,dear,2
little,family,2
little,matter,2
movie,tiny,2
creepy,*,2
tiny,complaints,2
creepy,singing,2
little,jumpers,2
little,men,2
scary,wonka,2
correct,chocolate,2
lumpas,little,2
correct,factory,2
colors,much,2
face,unhealthy,2
freakish,*,2
freakish,singing,2
necessary,work,2
pleased,factory,2
respects,little,2
*,better,2
huge,character,2
TRUE,book,2
book,cinematic,2
*,much,2
*,bad,2
*,ok,2
little,charlie,2
singing,better,2
singing,much,2
last,tim,2
singing,ok,2
good,character,2
purpose,chocolate,2
character,sure,2
much,*,2
much,singing,2
good,heart,2
scene.and,much,2
little,wonka,2
bizarre,character,2
